,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
72,72,2022-03-21,@,PHI,L,106,113,38,80,.475,10,33,.303,20,20,1.000,4,34,23,6,4,12,16,,43,86,.500,15,37,.405,12,16,.750,11,45,26,6,4,11,20
73,73,2022-03-23,,GSW,L,104,118,37,85,.435,14,36,.389,16,21,.762,8,34,26,8,1,9,19,,40,77,.519,15,36,.417,23,27,.852,7,45,23,5,2,11,24
74,74,2022-03-25,,NYK,L,103,111,35,70,.500,12,33,.364,21,25,.840,8,35,18,6,3,15,25,,36,82,.439,17,50,.340,22,28,.786,17,42,23,8,2,11,24
75,75,2022-03-26,,BRK,L,95,110,33,75,.440,10,34,.294,19,26,.731,6,39,20,7,5,21,23,,39,83,.470,11,33,.333,21,26,.808,11,40,26,15,5,13,22
76,76,2022-03-28,,SAC,W,123,100,49,90,.544,19,40,.475,6,6,1.000,10,48,30,7,1,15,20,,37,81,.457,12,35,.343,14,18,.778,5,32,21,6,2,14,12
77,77,2022-03-30,@,BOS,W,106,98,38,79,.481,13,34,.382,17,25,.680,4,42,27,9,6,15,23,,35,85,.412,11,37,.297,17,23,.739,8,44,27,9,1,17,22
78,78,2022-04-02,@,CHI,W,127,109,44,82,.537,17,34,.500,22,27,.815,5,41,28,4,1,9,21,,37,86,.430,9,34,.265,26,29,.897,11,39,21,5,4,5,19
79,79,2022-04-03,@,TOR,W,114,109,41,79,.519,18,38,.474,14,22,.636,8,38,30,9,4,17,21,,35,83,.422,12,39,.308,27,34,.794,10,38,19,12,1,14,20
80,80,2022-04-05,,CHO,W,144,115,48,84,.571,23,42,.548,25,29,.862,8,41,29,10,1,14,19,,45,85,.529,12,38,.316,13,18,.722,7,31,34,8,3,13,18
81,81,2022-04-08,,ATL,W,113,109,40,72,.556,11,26,.423,22,28,.786,4,33,20,9,1,17,17,,42,88,.477,8,34,.235,17,19,.895,13,43,17,9,0,14,23
82,82,2022-04-10,@,ORL,L,111,125,40,94,.426,19,50,.380,12,16,.750,10,47,20,5,4,10,13,,45,91,.495,23,58,.397,12,14,.857,6,48,33,4,3,8,16
