,Date,Time,Home_Team,Home_Pts,Away_Team,Away_Points
0,2023-12-02,8:00p,IND,,MIA,
0,2023-12-02,8:00p,ATL,,MIL,
0,2023-12-02,9:00p,OKC,,DAL,
0,2023-12-02,9:00p,MEM,,PHO,
0,2023-12-02,9:30p,POR,,UTA,
0,2023-12-02,10:00p,DEN,,SAC,
0,2023-12-02,10:30p,HOU,,LAL,
0,2023-12-11,7:00p,MIA,,CHO,
0,2023-12-11,7:00p,IND,,DET,
0,2023-12-11,7:00p,CLE,,ORL,
0,2023-12-11,7:00p,WAS,,PHI,
0,2023-12-11,7:30p,DEN,,ATL,
0,2023-12-11,7:30p,TOR,,NYK,
0,2023-12-11,8:00p,SAS,,HOU,
0,2023-12-11,8:00p,DAL,,MEM,
0,2023-12-11,8:00p,CHI,,MIL,
0,2023-12-11,8:00p,MIN,,NOP,
0,2023-12-11,8:00p,UTA,,OKC,
0,2023-12-11,10:00p,BRK,,SAC,
0,2023-12-11,10:30p,POR,,LAC,
0,2023-12-12,7:30p,CLE,,BOS,
0,2023-12-12,7:30p,LAL,,DAL,
0,2023-12-12,8:00p,DEN,,CHI,
0,2023-12-12,10:00p,GSW,,PHO,
0,2023-12-12,10:30p,SAC,,LAC,
0,2023-12-13,7:00p,PHI,,DET,
0,2023-12-13,7:00p,NOP,,WAS,
0,2023-12-13,7:30p,CHO,,MIA,
0,2023-12-13,7:30p,ATL,,TOR,
0,2023-12-13,8:00p,MEM,,HOU,
0,2023-12-13,8:00p,IND,,MIL,
0,2023-12-13,8:00p,LAL,,SAS,
0,2023-12-13,9:00p,BRK,,PHO,
0,2023-12-13,9:00p,NYK,,UTA,
0,2023-12-14,7:30p,CLE,,BOS,
0,2023-12-14,7:30p,CHI,,MIA,
0,2023-12-14,8:30p,MIN,,DAL,
0,2023-12-14,9:00p,BRK,,DEN,
0,2023-12-14,10:00p,UTA,,POR,
0,2023-12-14,10:00p,OKC,,SAC,
0,2023-12-14,10:30p,GSW,,LAC,
0,2023-12-15,7:00p,NOP,,CHO,
0,2023-12-15,7:00p,DET,,PHI,
0,2023-12-15,7:00p,IND,,WAS,
0,2023-12-15,7:30p,ORL,,BOS,
0,2023-12-15,7:30p,LAL,,SAS,
0,2023-12-15,7:30p,ATL,,TOR,
0,2023-12-15,8:00p,HOU,,MEM,
0,2023-12-15,10:00p,NYK,,PHO,
0,2023-12-16,6:00p,DET,,MIL,
0,2023-12-16,7:00p,PHI,,CHO,
0,2023-12-16,7:30p,ATL,,CLE,
0,2023-12-16,8:00p,CHI,,MIA,
0,2023-12-16,8:00p,IND,,MIN,
0,2023-12-16,8:30p,BRK,,GSW,
0,2023-12-16,9:00p,OKC,,DEN,
0,2023-12-16,9:00p,DAL,,POR,
0,2023-12-16,10:00p,UTA,,SAC,
0,2023-12-16,10:30p,NYK,,LAC,
0,2023-12-17,3:00p,ORL,,BOS,
0,2023-12-17,3:30p,NOP,,SAS,
0,2023-12-17,7:00p,HOU,,MIL,
0,2023-12-17,8:00p,WAS,,PHO,
0,2023-12-17,9:00p,GSW,,POR,
0,2023-12-18,7:00p,HOU,,CLE,
0,2023-12-18,7:00p,LAC,,IND,
0,2023-12-18,7:00p,CHI,,PHI,
0,2023-12-18,7:30p,DET,,ATL,
0,2023-12-18,7:30p,MIN,,MIA,
0,2023-12-18,7:30p,CHO,,TOR,
0,2023-12-18,8:00p,MEM,,OKC,
0,2023-12-18,9:00p,DAL,,DEN,
0,2023-12-18,9:00p,BRK,,UTA,
0,2023-12-18,10:00p,WAS,,SAC,
0,2023-12-18,10:30p,NYK,,LAL,
0,2023-12-19,7:30p,MEM,,NOP,
0,2023-12-19,8:00p,SAS,,MIL,
0,2023-12-19,10:00p,BOS,,GSW,
0,2023-12-19,10:00p,PHO,,POR,
0,2023-12-20,7:00p,UTA,,CLE,
0,2023-12-20,7:00p,CHO,,IND,
0,2023-12-20,7:00p,MIA,,ORL,
0,2023-12-20,7:00p,MIN,,PHI,
0,2023-12-20,7:30p,NYK,,BRK,
0,2023-12-20,7:30p,DEN,,TOR,
0,2023-12-20,8:00p,LAL,,CHI,
0,2023-12-20,8:00p,ATL,,HOU,
0,2023-12-20,8:30p,LAC,,DAL,
0,2023-12-20,10:00p,BOS,,SAC,
0,2023-12-21,7:00p,UTA,,DET,
0,2023-12-21,7:30p,NOP,,CLE,
0,2023-12-21,8:00p,SAS,,CHI,
0,2023-12-21,8:00p,IND,,MEM,
0,2023-12-21,8:00p,ORL,,MIL,
0,2023-12-21,8:00p,LAC,,OKC,
0,2023-12-21,9:00p,LAL,,MIN,
0,2023-12-21,10:00p,WAS,,POR,
0,2023-12-22,6:30p,DEN,,BRK,
0,2023-12-22,7:00p,TOR,,PHI,
0,2023-12-22,8:00p,DAL,,HOU,
0,2023-12-22,8:00p,ATL,,MIA,
0,2023-12-22,10:00p,WAS,,GSW,
0,2023-12-22,10:00p,PHO,,SAC,
0,2023-12-23,12:30p,MIL,,NYK,
0,2023-12-23,3:30p,BOS,,LAC,
0,2023-12-23,7:00p,DEN,,CHO,
0,2023-12-23,7:00p,ORL,,IND,
0,2023-12-23,7:00p,HOU,,NOP,
0,2023-12-23,7:30p,MEM,,ATL,
0,2023-12-23,7:30p,DET,,BRK,
0,2023-12-23,7:30p,UTA,,TOR,
0,2023-12-23,8:00p,CLE,,CHI,
0,2023-12-23,8:00p,LAL,,OKC,
0,2023-12-23,8:30p,SAS,,DAL,
0,2023-12-23,8:30p,POR,,GSW,
0,2023-12-23,10:00p,MIN,,SAC,
0,2023-12-25,12:00p,MIL,,NYK,
0,2023-12-25,2:30p,GSW,,DEN,
0,2023-12-25,5:00p,BOS,,LAL,
0,2023-12-25,8:00p,PHI,,MIA,
0,2023-12-25,10:30p,DAL,,PHO,
0,2023-12-26,7:00p,BRK,,DET,
0,2023-12-26,7:00p,ORL,,WAS,
0,2023-12-26,8:00p,ATL,,CHI,
0,2023-12-26,8:00p,IND,,HOU,
0,2023-12-26,8:00p,MEM,,NOP,
0,2023-12-26,8:00p,MIN,,OKC,
0,2023-12-26,8:00p,UTA,,SAS,
0,2023-12-26,10:00p,SAC,,POR,
0,2023-12-26,10:30p,CHO,,LAC,
0,2023-12-27,7:00p,PHI,,ORL,
0,2023-12-27,7:00p,TOR,,WAS,
0,2023-12-27,7:30p,MIL,,BRK,
0,2023-12-27,8:00p,PHO,,HOU,
0,2023-12-27,8:00p,NYK,,OKC,
0,2023-12-27,8:30p,CLE,,DAL,
0,2023-12-28,7:30p,DET,,BOS,
0,2023-12-28,8:00p,IND,,CHI,
0,2023-12-28,8:00p,DAL,,MIN,
0,2023-12-28,8:00p,UTA,,NOP,
0,2023-12-28,9:00p,MEM,,DEN,
0,2023-12-28,10:00p,MIA,,GSW,
0,2023-12-28,10:00p,SAS,,POR,
0,2023-12-28,10:30p,CHO,,LAL,
0,2023-12-29,7:00p,NYK,,ORL,
0,2023-12-29,7:00p,BRK,,WAS,
0,2023-12-29,7:30p,SAC,,ATL,
0,2023-12-29,7:30p,TOR,,BOS,
0,2023-12-29,7:30p,MIL,,CLE,
0,2023-12-29,8:00p,PHI,,HOU,
0,2023-12-29,9:00p,OKC,,DEN,
0,2023-12-29,9:00p,CHO,,PHO,
0,2023-12-29,10:00p,SAS,,POR,
0,2023-12-29,10:30p,MEM,,LAC,
0,2023-12-30,5:00p,MIA,,UTA,
0,2023-12-30,6:00p,TOR,,DET,
0,2023-12-30,7:00p,NYK,,IND,
0,2023-12-30,8:00p,PHI,,CHI,
0,2023-12-30,8:00p,LAL,,MIN,
0,2023-12-30,8:30p,DAL,,GSW,
0,2023-12-31,3:00p,ATL,,WAS,
0,2023-12-31,7:00p,LAL,,NOP,
