,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
69,69,2023-03-14,@,PHO,W,116,104,40,85,.471,12,39,.308,24,37,.649,13,46,24,8,6,12,15,,41,95,.432,8,23,.348,14,16,.875,8,41,23,7,3,11,26
70,70,2023-03-16,,IND,L,123,139,47,89,.528,11,32,.344,18,26,.692,9,44,26,5,4,12,16,,54,97,.557,22,46,.478,9,15,.600,8,42,36,5,3,8,20
71,71,2023-03-19,,TOR,W,118,111,43,82,.524,16,45,.356,16,21,.762,7,45,35,3,8,12,13,,44,99,.444,14,34,.412,9,12,.750,9,41,25,6,4,7,15
72,72,2023-03-22,,SAS,W,130,94,51,98,.520,15,43,.349,13,24,.542,10,54,24,10,4,15,14,,36,93,.387,9,39,.231,13,20,.650,8,46,26,7,6,19,21
73,73,2023-03-24,@,UTA,W,144,116,55,99,.556,22,50,.440,12,16,.750,9,50,42,6,11,12,20,,40,104,.385,11,40,.275,25,34,.735,20,51,28,6,5,11,15
74,74,2023-03-25,@,DEN,L,106,129,39,88,.443,9,36,.250,19,21,.905,4,40,26,7,2,10,19,,47,89,.528,15,36,.417,20,28,.714,7,48,28,4,3,10,18
75,75,2023-03-27,@,DET,W,126,117,45,95,.474,14,45,.311,22,26,.846,15,50,28,5,4,8,23,,41,92,.446,7,24,.292,28,36,.778,14,47,22,5,0,10,20
76,76,2023-03-29,@,IND,W,149,136,58,93,.624,10,25,.400,23,30,.767,14,52,28,5,5,18,18,,53,101,.525,14,30,.467,16,22,.727,10,29,36,9,4,8,25
77,77,2023-03-30,,BOS,L,99,140,38,101,.376,14,43,.326,9,13,.692,15,45,22,4,1,13,16,,51,91,.560,22,43,.512,16,20,.800,7,47,28,8,5,8,18
78,78,2023-04-02,,PHI,W,117,104,46,80,.575,10,28,.357,15,21,.714,7,42,28,8,5,9,17,,40,87,.460,12,36,.333,12,13,.923,11,36,19,3,2,11,17
79,79,2023-04-04,@,WAS,W,140,128,50,92,.543,23,42,.548,17,29,.586,12,56,33,6,7,18,19,,50,99,.505,13,27,.481,15,21,.714,9,42,30,7,4,9,21
80,80,2023-04-05,,CHI,W,105,92,39,92,.424,18,46,.391,9,11,.818,13,53,26,7,3,12,13,,36,83,.434,11,33,.333,9,11,.818,5,38,28,10,3,15,11
81,81,2023-04-07,,MEM,L,114,137,42,92,.457,21,49,.429,9,11,.818,11,38,30,5,3,17,15,,53,93,.570,20,42,.476,11,15,.733,11,44,39,9,6,12,20
82,82,2023-04-09,@,TOR,L,105,121,38,82,.463,12,34,.353,17,21,.810,7,38,28,5,2,14,13,,48,95,.505,11,33,.333,14,16,.875,7,45,29,8,2,9,19
